ci,lum,absmag,spect
-0.034,76.91304402866098,0.135,b
-0.105,435.7124805030843,-1.748,b
-0.064,74.67925899308831,0.167,b
-0.110,261.33645761890233,-1.193,b
-0.099,170.60823890031244,-0.730,b
-0.063,340.4081897010009,-1.480,b
-0.036,56.23413251903491,0.475,b
-0.080,249.57437948315692,-1.143,b
-0.051,261.33645761890233,-1.193,b
-0.086,963.8290236239706,-2.610,b
-0.020,38.79716572936907,0.878,b
-0.102,63.67955209079159,0.340,b
0.035,217.57049509257934,-0.994,b
-0.125,156.4588018040553,-0.636,b
0.028,184.50154191794718,-0.815,b
-0.067,81.35795056053963,0.074,b
-0.070,426.57951880159254,-1.725,b
-0.082,114.07750129221203,-0.293,b
-0.046,38.976245309771954,0.873,b
-0.006,42.18907465677975,0.787,b
-0.044,31.419552846410713,1.107,b
-0.058,39.884118690905275,0.848,b
-0.057,256.09435171567696,-1.171,b
-0.036,283.4001005509098,-1.281,b
0.046,270.14690729572465,-1.229,b
-0.090,180.46791465567227,-0.791,b
-0.133,88.71560120379604,-0.020,b
-0.136,162.18100973589299,-0.675,b
0.271,3382.2055666965434,-3.973,b
-0.073,304.2285727480961,-1.358,b
-0.058,392.28346253952094,-1.634,b
0.031,144.27796231294775,-0.548,b
-0.074,111.5835052288668,-0.269,b
-0.199,2307.809729698403,-3.558,b
-0.099,829.468695095263,-2.447,b
-0.133,108.34278621501396,-0.237,b
0.005,144.14513857582102,-0.547,b
-0.178,209.12213301552868,-0.951,b
-0.080,250.26493257310798,-1.146,b
-0.124,122.5744632049806,-0.371,b
0.386,14454397.70745928,-13.050,b
-0.025,485.28850016212095,-1.865,b
0.052,56.8067574106772,0.464,b
-0.147,230.14418174085066,-1.055,b
0.171,217.97164411399058,-0.996,b
0.021,48.61832584649838,0.633,b
-0.125,111.17317272815909,-0.265,b
-0.085,102.2350938503231,-0.174,b
-0.054,332.6595532940047,-1.455,b
-0.116,86.29785477669702,0.010,b
-0.061,77.26805850957021,0.130,b
-0.108,98.53715068586186,-0.134,b
-0.072,41.68693834703355,0.800,b
-0.069,37.67037989839087,0.910,b
-0.031,579.1619210831201,-2.057,b
-0.124,233.3458062281002,-1.070,b
-0.022,253.2794765689993,-1.159,b
-0.041,48.932792408193684,0.626,b
0.029,100.27669229965878,-0.153,b
0.173,196.7886289706845,-0.885,b
-0.054,83.86871712481636,0.041,b
-0.010,128.70635762533323,-0.424,b
-0.098,71.77942912713615,0.210,b
0.049,126.94044019618022,-0.409,b
-0.106,293.2243282303115,-1.318,b
-0.099,73.65462114702305,0.182,b
-0.202,1074.4841166445556,-2.728,b
0.086,91.87556016660622,-0.058,b
-0.026,38.904514499428046,0.875,b
-0.194,380.89037649813514,-1.602,b
0.009,374.97300224548337,-1.585,b
0.119,42461956.3946313,-14.220,b
-0.117,91.87556016660622,-0.058,b
0.077,50.072583564033515,0.601,b
-0.128,291.87708481971424,-1.313,b
-0.048,85.74326166361797,0.017,b
-0.100,160.10319546673313,-0.661,b
-0.210,1000,-2.650,b
-0.107,442.1809210742687,-1.764,b
-0.019,40.70052394402337,0.826,b
-0.121,93.84259312370172,-0.081,b
-0.112,254.4485615146634,-1.164,b
-0.114,121.22717925364971,-0.359,b
0.013,173.30057353270814,-0.747,b
-0.076,42461956.3946313,-14.220,b
0.040,112.30523475410828,-0.276,b
-0.148,555.1367774352115,-2.011,b
0.058,112.40871934697304,-0.277,b
-0.157,3056.3282803659663,-3.863,b
0.060,109.44602678150797,-0.248,b
-0.179,4839.4944930166275,-4.362,b
-0.116,174.42149315611752,-0.754,b
0.015,194.98445997580455,-0.875,b
-0.085,52.28775553134414,0.554,b
0.352,31622776.60168379,-13.900,b
-0.123,283.92262394249076,-1.283,b
-0.202,524.3243172456372,-1.949,b
0.156,372.5632384666039,-1.578,b
-0.033,18.03017740859569,1.710,b
-0.053,2.222286254328203,3.983,b
-0.047,34.833731503601165,0.995,b
-0.164,538.5177219975278,-1.978,b
-0.050,80.31561699226565,0.088,b
-0.187,759.9762143610377,-2.352,b
-0.117,426.18680542416035,-1.724,b
-0.080,313.9062769137658,-1.392,b
-0.148,259.1791134615946,-1.184,b
-0.030,43.171784447092264,0.762,b
-0.059,69.95197810512134,0.238,b
0.168,440.55486350655343,-1.760,b
0.030,1156.6447741656461,-2.808,b
-0.059,181.63519311765114,-0.798,b
-0.187,1075.474208972789,-2.729,b
0.720,802.4167763085844,-2.411,b
-0.072,287.3425886674871,-1.296,b
-0.099,73.04659895204111,0.191,b
-0.108,77.98301105232585,0.120,b
-0.110,136.77288255958496,-0.490,b
-0.094,782.708409590612,-2.384,b
-0.030,51665.42425669497,-6.933,b
-0.067,59.923890258347825,0.406,b
-0.150,288.66890179482726,-1.301,b
-0.115,732.4871326650403,-2.312,b
-0.043,45.040167816808726,0.716,b
-0.134,170.76544728138737,-0.731,b
-0.100,127.17448862880669,-0.411,b
-0.031,178.64875748520515,-0.780,b
-0.235,1141.8261895482235,-2.794,b
-0.105,123.02687708123811,-0.375,b
-0.104,69.69473963563203,0.242,b
-0.047,190.3706531742075,-0.849,b
0.039,69.3106545149936,0.248,b
-0.176,642.6877173170194,-2.170,b
-0.089,174.26091898259304,-0.753,b
-0.125,440.96081645063776,-1.761,b
-0.114,809.841447325789,-2.421,b
-0.168,914.53430312046,-2.553,b
-0.129,187.4131239976753,-0.832,b
-0.082,106.46331870513124,-0.218,b
-0.091,119.6740531307243,-0.345,b
-0.096,1993.4254564980927,-3.399,b
-0.037,52.67444883319058,0.546,b
-0.040,60.58986711389654,0.394,b
-0.219,1765.2247174525573,-3.267,b
-0.208,333.2728995761379,-1.457,b
-0.240,3567.7958828856267,-4.031,b
-0.145,548.5295139412035,-1.998,b
0.034,163.8324779628639,-0.686,b
-0.200,977.2372209558112,-2.625,b
-0.224,1152.3913771994878,-2.804,b
-0.038,96.64958643142134,-0.113,b
-0.178,424.619563946313,-1.720,b
-0.047,115.7710574115271,-0.309,b
-0.084,90.44821490475906,-0.041,b
-0.130,321.21809339879854,-1.417,b
-0.199,1543.1210656577923,-3.121,b
0.175,895.3647655495937,-2.530,b
-0.090,170.76544728138737,-0.731,b
-0.140,357.1083458083457,-1.532,b
0.015,91.20108393559097,-0.050,b
-0.173,371.1931900441403,-1.574,b
-0.042,96.02846792093811,-0.106,b
-0.192,824.1381150130021,-2.440,b
-0.194,1362.6991969948704,-2.986,b
-0.143,156.8917112607855,-0.639,b
-0.176,692.468464322636,-2.251,b
-0.178,1430.8694127493386,-3.039,b
-0.261,9506.04793656282,-5.095,b
-0.004,4625.940047661607,-4.313,b
-0.188,1457.4712612565295,-3.059,b
0.281,113762728.58234333,-15.290,b
-0.099,211.83611352485022,-0.965,b
-0.015,630.9573444801937,-2.150,b
-0.175,1268.235775555588,-2.908,b
-0.022,1065.614202158518,-2.719,b
-0.034,358.4264080437143,-1.536,b
-0.118,93.75620069258802,-0.080,b
-0.174,238.34168206731522,-1.093,b
-0.160,268.163706676073,-1.221,b
-0.157,1696.680232346464,-3.224,b
-0.228,3209.223768048436,-3.916,b
-0.248,2613.3645761890234,-3.693,b
0.149,592.1067335646609,-2.081,b
0.080,18030177.4085957,-13.290,b
-0.142,296.4831389524342,-1.330,b
-0.148,463.0202658603084,-1.814,b
-0.183,941.8895965228418,-2.585,b
-0.092,177.99180203953355,-0.776,b
-0.160,269.89820734720155,-1.228,b
-0.122,544.0013782467271,-1.989,b
-0.018,229.08676527677724,-1.050,b
-0.184,67483.87308707573,-7.223,b
-0.180,315.9366435682516,-1.399,b
-0.212,1007.3954848112501,-2.658,b
-0.052,146.96028989796503,-0.568,b
-0.075,97.18517029401686,-0.119,b
-0.170,372.5632384666039,-1.578,b
-0.210,561.8236281342279,-2.024,b
-0.148,1050.9934271862176,-2.704,b
-0.029,733.1620890272109,-2.313,b
-0.061,223.6660149466177,-1.024,b
-0.216,609.2562597496564,-2.112,b
-0.078,75.02396279074637,0.162,b
-0.098,2477.4220576332864,-3.635,b
-0.095,539.0139436325512,-1.979,b
